Date,Growth Rate
1960-02-01,0.546448087431696
1960-03-01,-1.73913043478262
1960-04-01,3.20796460176991
1960-05-01,6.32368703108253
1960-06-01,14.1129032258064
1960-07-01,7.33215547703181
1960-08-01,8.31275720164609
1960-09-01,0.0759878419452891
1960-10-01,-5.84662110858009
1960-11-01,-1.93548387096775
1960-12-01,-2.30263157894738
1961-01-01,-1.010101010101
1961-02-01,-0.935374149659857
1961-03-01,-1.03004291845494
1961-04-01,1.99479618386817
1961-05-01,4.33673469387756
1961-06-01,0.570497147514265
1961-07-01,-8.26580226904378
1961-08-01,-4.68197879858657
1961-09-01,-4.6339202965709
1961-10-01,1.84645286686104
1961-11-01,6.58396946564886
1961-12-01,-3.31244404655326
1962-01-01,-1.85185185185186
1962-02-01,-1.50943396226416
1962-03-01,-0.862068965517259
1962-04-01,-3.38164251207728
1962-05-01,-7.69999999999998
1962-06-01,-9.10075839653306
1962-07-01,-3.09892729439809
1962-08-01,-3.93603936039361
1962-09-01,-1.53649167733674
1962-10-01,-8.32249674902473
1962-11-01,11.2056737588653
1962-12-01,4.59183673469386
1963-01-01,-3.65853658536584
1963-02-01,-2.78481012658229
1963-03-01,-0.130208333333316
1963-04-01,2.47718383311603
1963-05-01,8.77862595419846
1963-06-01,1.6374269005848
1963-07-01,-0.460299194476412
1963-08-01,4.16184971098266
1963-09-01,2.7746947835738
1963-10-01,-2.05183585313174
1963-11-01,-2.86659316427784
1963-12-01,0.908059023836554
1964-01-01,5.84926884139481
1964-02-01,2.76301806588737
1964-03-01,4.03309203722855
1964-04-01,-0.497017892644165
1964-05-01,-2.09790209790208
1964-06-01,-1.73469387755101
1964-07-01,2.18068535825543
1964-08-01,2.03252032520326
1964-09-01,0.697211155378476
1964-10-01,-3.56083086053412
1964-11-01,-3.48717948717949
1964-12-01,0.42507970244421
1965-01-01,-0.423280423280425
1965-02-01,-1.59404888416577
1965-03-01,-2.15982721382289
1965-04-01,-0.331125827814571
1965-05-01,-2.54706533776302
1965-06-01,-2.38636363636363
1965-07-01,-1.28055878928988
1965-08-01,1.53301886792454
1965-09-01,0.116144018583044
1965-10-01,-3.01624129930394
1965-11-01,-2.51196172248803
1965-12-01,-1.4723926380368
1966-01-01,3.23785803237856
1966-02-01,1.20627261761159
1966-03-01,-1.43027413587605
1966-04-01,-2.66021765417168
1966-05-01,-6.08695652173914
1966-06-01,-4.62962962962963
1966-07-01,-5.82524271844659
1966-08-01,0.589101620029458
1966-09-01,2.78184480234258
1966-10-01,-3.13390313390311
1966-11-01,-3.08823529411764
1966-12-01,0.606980273141105
1967-01-01,-0.452488687782808
1967-02-01,6.66666666666666
1967-03-01,1.84659090909092
1967-04-01,-1.11576011157602
1967-05-01,-1.97461212976022
1967-06-01,-1.58273381294963
1967-07-01,1.60818713450291
1967-08-01,12.3741007194245
1967-09-01,4.22535211267604
1967-10-01,1.10565110565113
1967-11-01,4.61725394896718
1967-12-01,1.97444831591174
1968-01-01,5.92255125284738
1968-02-01,0.430107526881722
1968-03-01,-0.107066381156317
1968-04-01,4.82315112540194
1968-05-01,0.613496932515312
1968-06-01,2.03252032520326
1968-07-01,1.29482071713147
1968-08-01,1.17994100294986
1968-09-01,-1.26336248785228
1968-10-01,1.37795275590552
1968-11-01,-2.03883495145632
1968-12-01,-2.08126858275521
1969-01-01,2.83400809716601
1969-02-01,1.4763779527559
1969-03-01,0.0969932104752672
1969-04-01,-0.096899224806202
1969-05-01,4.36469447138701
1969-06-01,0.743494423791825
1969-07-01,-4.4280442804428
1969-08-01,3.66795366795367
1969-09-01,0.651769087523255
1969-10-01,3.88529139685477
1969-11-01,4.98664292074801
1969-12-01,-3.13825275657338
1970-01-01,-3.85288966725042
1970-02-01,-2.93204553294238
1970-03-01,-2.38095238095239
1970-04-01,0.76447033127047
1970-05-01,-10.4226878612717
1970-06-01,-3.89191369227669
1970-07-01,-1.19597146454048
1970-08-01,4.86302824378848
1970-09-01,-3.19967598217902
1970-10-01,-1.69456066945606
1970-11-01,-2.66014045541605
1970-12-01,-2.14254481853957
1971-01-01,5.92046470062555
1971-02-01,7.6987977219996
1971-03-01,2.74187230708971
1971-04-01,-2.0015249714068
1971-05-01,-4.43493483758024
1971-06-01,0.52920822308162
1971-07-01,1.15407977323346
1971-08-01,-0.180144115292254
1971-09-01,-6.27631842791256
1971-10-01,-2.58878904578519
1971-11-01,-6.03997364375138
1971-12-01,6.33473585787751
1972-01-01,3.95691360738623
1972-02-01,6.85134277860012
1972-03-01,3.54245002968534
1972-04-01,3.11544342507647
1972-05-01,1.77942539388322
1972-06-01,-1.03806228373703
1972-07-01,-0.478468899521544
1972-08-01,4.08653846153846
1972-09-01,-2.82465802096285
1972-10-01,-3.47349177330896
1972-11-01,1.49621212121212
1972-12-01,-1.99664116439635
1973-01-01,4.74105102817974
1973-02-01,-1.49063806580624
1973-03-01,3.74607861229012
1973-04-01,0.14229811454996
1973-05-01,-8.86323268206038
1973-06-01,-3.13778990450204
1973-07-01,-6.11670020120727
1973-08-01,-1.22160308615515
1973-09-01,-1.12822738121067
1973-10-01,1.64581961816984
1973-11-01,-2.31001727115716
1973-12-01,-6.78453038674033
1974-01-01,3.60360360360361
1974-02-01,0.41189931350114
1974-03-01,-2.8714676390155
1974-04-01,2.39324260910372
1974-05-01,-0.641613198900113
1974-06-01,-3.52859778597785
1974-07-01,-3.80109968921826
1974-08-01,2.31113320079522
1974-09-01,-4.4449842118047
1974-10-01,-2.66903914590748
1974-11-01,2.76834682684775
1974-12-01,5.31130876747139
